Number_Particles,Theta_actual,Phi_actual,Theta_est,Phi_est,Theta_std,Phi_std
10000,-20.0,0.0,-18.5138,0.3743,0.3433,0.3476
10000,-19.0,0.0,-18.0108,0.3439,0.3393,0.357
10000,-18.0,0.0,-17.127,0.1144,0.3299,0.3708
10000,-17.0,0.0,-15.9725,0.156,0.329,0.3663
10000,-16.0,0.0,-15.1091,0.2449,0.3286,0.3681
10000,-15.0,0.0,-14.4178,0.0549,0.3768,0.3931
10000,-14.0,0.0,-13.3086,-0.1044,0.3476,0.3431
10000,-13.0,0.0,-12.401,-0.0075,0.3694,0.3806
10000,-12.0,0.0,-11.3521,0.3155,0.3675,0.4009
10000,-11.0,0.0,-10.2731,0.3598,0.377,0.3851
10000,-10.0,0.0,-9.2397,0.2332,0.3455,0.368
10000,-9.0,0.0,-8.2097,0.2167,0.3647,0.3637
10000,-8.0,0.0,-7.5107,0.3121,0.3342,0.3566
10000,-7.0,0.0,-6.4659,0.092,0.3626,0.3494
10000,-6.0,0.0,-5.5059,0.1602,0.3457,0.359
10000,-5.0,0.0,-4.4836,0.2784,0.3594,0.3524
10000,-4.0,0.0,-3.6769,0.2049,0.3606,0.3696
10000,-3.0,0.0,-2.7306,0.2643,0.3637,0.3716
10000,-2.0,0.0,-1.8903,0.2943,0.3607,0.3688
10000,-1.0,0.0,-1.0475,0.1736,0.3576,0.3745
10000,0.0,0.0,-0.2903,0.1664,0.3496,0.3381
10000,1.0,0.0,0.7832,0.1862,0.3793,0.3635
10000,2.0,0.0,1.8196,0.2866,0.3625,0.3633
10000,3.0,0.0,2.8543,0.2304,0.385,0.3738
10000,4.0,0.0,3.6324,0.2248,0.3481,0.3518
10000,5.0,0.0,4.6682,0.1347,0.3805,0.3771
10000,6.0,0.0,5.7028,0.217,0.372,0.3665
10000,7.0,0.0,6.5973,0.2074,0.3736,0.3889
10000,8.0,0.0,7.8059,0.0961,0.3663,0.3775
10000,9.0,0.0,8.808,0.0927,0.3385,0.3637
10000,10.0,0.0,9.6786,0.0405,0.3591,0.3714
10000,11.0,0.0,10.5301,0.1679,0.3615,0.3732
10000,12.0,0.0,11.2959,0.2305,0.3625,0.3632
10000,13.0,0.0,12.2181,0.2766,0.3576,0.3842
10000,14.0,0.0,13.1947,-0.0241,0.3668,0.3971
10000,15.0,0.0,14.088,0.0283,0.372,0.3646
10000,16.0,0.0,14.9781,-0.1592,0.3362,0.358
10000,17.0,0.0,15.8395,-0.0665,0.3441,0.3608
10000,18.0,0.0,16.7878,-0.1327,0.3216,0.3518
10000,19.0,0.0,17.5861,0.0588,0.34,0.3406
